bike_name,price,city,kms_driven,owner,age,power,brand
Yamaha FZs 150cc,35000.0,Delhi,28000.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,45000.0,Delhi,40718.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,22000.0,Delhi,30378.0,First Owner,9.0,150.0,Yamaha
Yamaha YZF-R15 150cc,47000.0,Delhi,12643.0,Second Owner,9.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,51715.0,Delhi,13191.0,Second Owner,8.0,150.0,Yamaha
Yamaha YZF-R15 150cc,65000.0,Delhi,15048.0,Second Owner,8.0,150.0,Yamaha
Yamaha FZ S V 3.0 150cc,92100.0,Delhi,4446.0,First Owner,2.0,150.0,Yamaha
Yamaha Saluto 125cc,29000.0,Delhi,26076.0,First Owner,6.0,125.0,Yamaha
Yamaha Fazer25 250cc,80000.0,Delhi,22000.0,First Owner,3.0,250.0,Yamaha
Yamaha Fazer 150cc,35000.0,Delhi,40271.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,69500.0,Delhi,9943.0,First Owner,2.0,150.0,Yamaha
Yamaha YZF-R1 1000cc,700000.0,Delhi,285.0,First Owner,3.0,1000.0,Yamaha
Yamaha FZ S V 2.0 150cc Rear Disc,83000.0,Delhi,3810.0,First Owner,2.0,150.0,Yamaha
Yamaha FZs 150cc,35000.0,Delhi,17325.0,First Owner,7.0,150.0,Yamaha
Yamaha YZF-R15 150cc,30000.0,Delhi,27000.0,First Owner,12.0,150.0,Yamaha
Yamaha Fazer 150cc,34000.0,Delhi,12580.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,52800.0,Delhi,22000.0,First Owner,4.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,54000.0,Delhi,5020.0,Second Owner,4.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,55000.0,Delhi,43000.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,43000.0,Delhi,60000.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,45000.0,Delhi,32375.0,First Owner,8.0,150.0,Yamaha
Yamaha Fazer 150cc,40000.0,Delhi,38000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,48000.0,Delhi,11000.0,First Owner,7.0,150.0,Yamaha
Yamaha FZ16 150cc,30000.0,Delhi,9300.0,First Owner,11.0,150.0,Yamaha
Yamaha Fazer 150cc,30000.0,Delhi,24000.0,First Owner,9.0,150.0,Yamaha
